iter	Passed	Remaining
796	4411	1123
797	4418	1118
798	4425	1113
799	4432	1108
800	4438	1102
801	4442	1096
802	4446	1090
803	4452	1085
804	4459	1080
805	4470	1075
806	4479	1071
807	4486	1066
808	4493	1060
809	4499	1055
810	4504	1049
811	4509	1044
812	4515	1038
813	4521	1033
814	4528	1027
815	4537	1023
816	4542	1017
817	4550	1012
818	4560	1007
819	4570	1003
820	4581	998
821	4588	993
822	4598	989
823	4606	984
824	4614	978
825	4622	973
826	4633	969
827	4641	964
828	4648	958
829	4655	953
830	4664	948
831	4674	943
832	4680	938
833	4686	932
834	4691	927
835	4697	921
836	4703	915
837	4712	910
838	4719	905
839	4727	900
840	4733	894
841	4738	889
842	4744	883
843	4750	877
844	4755	872
845	4759	866
846	4764	860
847	4770	855
848	4775	849
849	4781	843
850	4786	837
851	4791	832
852	4796	826
853	4803	821
854	4810	815
855	4816	810
856	4822	804
857	4828	799
858	4835	793
859	4841	788
860	4848	782
861	4854	777
862	4860	771
863	4867	766
864	4875	760
865	4881	755
866	4890	750
867	4898	744
868	4907	739
869	4913	734
870	4919	728
871	4926	723
872	4933	717
873	4938	711
874	4943	706
875	4949	700
876	4955	695
877	4961	689
878	4965	683
879	4971	677
880	4976	672
881	4981	666
882	4985	660
883	4992	655
884	4998	649
885	5007	644
886	5013	638
887	5019	633
888	5026	627
889	5033	622
890	5039	616
891	5046	611
892	5052	605
893	5058	599
894	5064	594
895	5071	588
896	5089	584
897	5094	578
898	5102	573
899	5113	568
900	5119	562
901	5125	556
902	5129	551
903	5134	545
904	5138	539
905	5143	533
906	5147	527
907	5151	522
908	5156	516
909	5160	510
910	5164	504
911	5168	498
912	5172	492
913	5176	487
914	5181	481
915	5185	475
916	5189	469
917	5193	463
918	5197	458
919	5201	452
920	5206	446
921	5210	440
922	5214	435
923	5218	429
924	5223	423
925	5227	417
926	5231	411
927	5235	406
928	5239	400
929	5257	395
930	5261	389
931	5265	384
932	5269	378
933	5274	372
934	5278	366
935	5283	361
936	5287	355
937	5291	349
938	5295	344
939	5300	338
940	5304	332
941	5308	326
942	5312	321
943	5316	315
944	5320	309
945	5325	303
946	5329	298
947	5334	292
948	5338	286
949	5342	281
950	5346	275
951	5350	269
952	5355	264
953	5359	258
954	5363	252
955	5367	247
956	5372	241
957	5376	235
958	5380	230
959	5384	224
960	5390	218
961	5394	213
962	5398	207
963	5403	201
964	5407	196
965	5411	190
966	5415	184
967	5420	179
968	5424	173
969	5428	167
970	5431	162
971	5435	156
972	5439	150
973	5443	145
974	5448	139
975	5452	134
976	5456	128
977	5461	122
978	5465	117
979	5469	111
980	5473	106
981	5478	100
982	5482	94
983	5486	89
984	5491	83
985	5495	78
986	5499	72
987	5503	66
988	5507	61
989	5512	55
990	5516	50
991	5520	44
992	5525	38
993	5529	33
994	5534	27
995	5538	22
996	5542	16
997	5547	11
998	5551	5
999	5555	0
